source,species
WFD,Pomatoschistus microps
WFD,Pomatoschistus minutus
WFD,Pomatoschistus norvegicus
WFD,Pomatoschistus pictus
WFD,Psetta maxima
WFD,Pungitius pungitius
WFD,Raja batis
WFD,Raja brachyura
WFD,Raja clavata
WFD,Raja microocellata
WFD,Raja montagui
WFD,Raja naevus
WFD,Raniceps raninus
WFD,Salmo salar
WFD,Salmo trutta
WFD,Sardina pilchardus
WFD,Scomber scombrus
WFD,Scomberesox saurus
WFD,Scophthalmus rhombus
WFD,Scorpaena porcus
WFD,Scyliorhinus canicula
WFD,Scyliorhinus stellaris
WFD,Solea solea
WFD,Sparus aurata
WFD,Spinachia spinachia
WFD,Spondyliosoma cantharus
WFD,Sprattus sprattus
WFD,Squalus acanthias
WFD,Squatina squatina
WFD,Syngnathus acus
WFD,Syngnathus rostellatus
WFD,Syngnathus typhle
WFD,Taurulus bubalis
WFD,Thorogobius ephippiatus
WFD,Trachinus draco
WFD,Trachurus trachurus
WFD,Trigla lyra
WFD,Trigloporus lastoviza
WFD,Trisopterus esmarkii
WFD,Trisopterus luscus
WFD,Trisopterus minutus
WFD,Zeugopterus punctatus
WFD,Zeugopterus regius
WFD,Zeus faber
WFD,Zoarces viviparus
GBIF,Abramis brama
GBIF,Acanthistius sebastoides
GBIF,Agonus cataphractus
GBIF,Alburnus alburnus
GBIF,Alepocephalus bairdii
GBIF,Alosa alosa
GBIF,Alosa fallax
GBIF,Amblyraja hyperborea
GBIF,Amblyraja jenseni
GBIF,Amblyraja radiata
GBIF,Ammodytes americanus
GBIF,Ammodytes marinus
GBIF,Ammodytes tobianus
GBIF,Anarhichas denticulatus
GBIF,Anarhichas lupus
GBIF,Anarhichas minor
GBIF,Anguilla anguilla
GBIF,Anguilla brevirostris
GBIF,Anoplogaster cornuta
GBIF,Antimora rostrata
GBIF,Aphanopus carbo
GBIF,Aphia minuta
GBIF,Apletodon dentatus
GBIF,Apristurus aphyodes
GBIF,Apristurus laurussonii
GBIF,Apristurus profundorum
GBIF,Arctozenus risso
GBIF,Arctozenus rissoi
GBIF,Argentina silus
GBIF,Argentina sphyraena
GBIF,Argyropelecus hemigymnus
GBIF,Argyropelecus olfersii
GBIF,Arnoglossus imperialis
GBIF,Arnoglossus laterna
GBIF,Atherina presbyter
GBIF,Bajacalifornia megalops
GBIF,Barbantus curvifrons
GBIF,Barbatula barbatula
GBIF,Barbatula barbatulus
GBIF,Bathylagichthys greyae
GBIF,Bathylagus euryops
GBIF,Bathylychnops exilis
GBIF,Bathypterois dubius
GBIF,Bathyraja brachyura
GBIF,Bathyraja richardsoni
GBIF,Bathyraja spinicauda
GBIF,Bathysaurus ferox
GBIF,Belone belone
GBIF,Benthosema glaciale
GBIF,Blennius ocellaris
GBIF,Bolinichthys supralateralis
GBIF,Bonapartia pedaliota
GBIF,Borostomias antarcticus
GBIF,Brama brama
GBIF,Brosme brosme
GBIF,Brotula barbata
GBIF,Buenia jeffreysi
GBIF,Buenia jeffreysii
GBIF,Buglossidium luteum
GBIF,Buglossidium luteus
GBIF,Callionymus lyra
GBIF,Callionymus maculatus
GBIF,Callionymus reticulatus
GBIF,Capros aper
GBIF,Carassius vulgaris
GBIF,Careproctus longipinnis
GBIF,Careproctus reinhardi
GBIF,Careproctus reinhardti
GBIF,Cataetyx laticeps
GBIF,Centrolabrus exoletus
GBIF,Centrolophus niger
GBIF,Centrophorus granulosus
GBIF,Centrophorus squamosus
GBIF,Centroscyllium fabricii
GBIF,Centroscymnus coelolepis
GBIF,Centroscymnus crepidater
GBIF,Centroscymnus cryptacanthus
GBIF,Cepola macrophthalma
GBIF,Cepola rubescens
GBIF,Ceratias holboelli
GBIF,Ceratoscopelus maderensis
GBIF,Ceratoscopelus warmingii
GBIF,Chaenophryne draco
GBIF,Chauliodus sloani
GBIF,Chelidonichthys cuculus
GBIF,Chelidonichthys lucerna
GBIF,Chiasmodon niger
GBIF,Chirolophis ascanii
GBIF,Chlamydoselachus anguineus
GBIF,Cichlasoma bimaculatum
GBIF,Ciliata mustela
GBIF,Ciliata septentrionalis
GBIF,Clupea harengus
GBIF,Coelorinchus caelorhincus
GBIF,Coelorinchus caudani
GBIF,Coelorinchus coelorhinchus
GBIF,Coelorinchus labiatus
GBIF,Coelorinchus occa
GBIF,Conger conger
GBIF,Coregonus pollan
GBIF,Coryphaenoides armatus
GBIF,Coryphaenoides brevibarbis
GBIF,Coryphaenoides guentheri
GBIF,Coryphaenoides mediterranea
GBIF,Coryphaenoides mediterraneus
GBIF,Coryphaenoides rupestris
GBIF,Cottunculus microps
GBIF,Cottunculus thompsoni
GBIF,Cottunculus thomsonii
GBIF,Cottus gobio
GBIF,Cryptopsaras couesii
GBIF,Crystallogobius linearis
GBIF,Ctenolabrus rupestris
GBIF,Cyclopterus lumpus
GBIF,Cyclothone braueri
GBIF,Cyclothone microdon
GBIF,Cyclothone obscura
GBIF,Dalatias licha
GBIF,Deania calcea
GBIF,Diaphus dumerilii
GBIF,Diaphus rafinesquii
GBIF,Dicentrarchus labrax
GBIF,Diplecogaster bimaculata
GBIF,Diplecogaster bimaculatus
GBIF,Dipturus batis
GBIF,Dipturus nidrosiensis
GBIF,Diretmus argenteus
GBIF,Dolichopteroides binocularis
GBIF,Dolichopteryx rostrata
GBIF,Echiichthys vipera
GBIF,Echiodon drummondii
GBIF,Electrona risso
GBIF,Enchelyopus cimbrius
GBIF,Engraulis encrasicolus
GBIF,Entelurus aequoreus
GBIF,Epigonus telescopus
GBIF,Esox lucius
GBIF,Etmopterus princeps
GBIF,Etmopterus spinax
GBIF,Eutrigla gurnardus
GBIF,Evermannella balbo
GBIF,Flagellostomias boureei
GBIF,Gadiculus argenteus
GBIF,Gadiculus thori
GBIF,Gadus callarias
GBIF,Gadus morhua
GBIF,Gaidropsarus argentatus
GBIF,Gaidropsarus macrophthalmus
GBIF,Gaidropsarus macropthalmus
GBIF,Gaidropsarus mediterraneus
GBIF,Gaidropsarus vulgaris
GBIF,Galeorhinus galeus
GBIF,Galeus melastomus
GBIF,Galeus murinus
GBIF,Gasterosteus aculeatus
GBIF,Gephyroberyx darwinii
GBIF,Glyptocephalus cynoglossus
GBIF,Gobio gobio
GBIF,Gobiusculus flavescens
GBIF,Gobius niger
GBIF,Gobius paganellus
GBIF,Grammicolepis brachiusculus
GBIF,Guttigadus latifrons
GBIF,Gymnammodytes cicerelus
GBIF,Gymnammodytes semisquamatus
GBIF,Gymnocephalus cernus
GBIF,Halargyreus affinis
GBIF,Halargyreus johnsonii
GBIF,Halosauropsis macrochir
GBIF,Halosauropsis macrochira
GBIF,Halosaurus johnsonianus
GBIF,Helicolenus dactylopterus
GBIF,Hexanchus griseus
GBIF,Himantolophus groenlandicus
GBIF,Hippoglossoides limandoides
GBIF,Hippoglossoides platessoides
GBIF,Histiobranchus bathybius
GBIF,Holtbyrnia anomala
GBIF,Holtbyrnia macrops
GBIF,Hoplostethus atlanticus
GBIF,Hoplostethus mediterraneus
GBIF,Howella brodiei
GBIF,Hyperoplus immaculatus
GBIF,Hyperoplus lanceolatus
GBIF,Icelus bicornis
GBIF,Ilyophis blachei
GBIF,Isurus oxyrinchus
GBIF,Labrus bergylta
GBIF,Lamna nasus
GBIF,Lampadena speculigera
GBIF,Lampanyctus crocodilus
GBIF,Lampanyctus intricarius
GBIF,Lampanyctus macdonaldi
GBIF,Lampanyctus pusillus
GBIF,Lamprogrammus shcherbachevi
GBIF,Lebetus scorpioides
GBIF,Lepidion eques
GBIF,Lepidorhombus boscii
GBIF,Lepidorhombus whiffiagonis
GBIF,Lesueurigobius friesi
GBIF,Lethrinus nebulosus
GBIF,Leuciscus idus
GBIF,Leuciscus leuciscus
GBIF,Leuciscus vulgaris
GBIF,Leucobrotula adipata
GBIF,Leucoraja circularis
GBIF,Leucoraja fullonica
GBIF,Leucoraja naevus
GBIF,Limanda limanda
GBIF,Liparis liparis
GBIF,Lipophrys pholis
GBIF,Liza aurata
GBIF,Lophius piscatorius
GBIF,Lumpenus lampretaeformis
GBIF,Lumpenus lumpretaeformis
GBIF,Lycodes esmarkii
GBIF,Lycodes eudipleurostictus
GBIF,Lycodes pallidus
GBIF,Lycodes squamiventer
GBIF,Lycodes terraenovae
GBIF,Lycodes vahlii
GBIF,Lycodonus flagellicauda
GBIF,Macroramphosus scolopax
GBIF,Macrourus berglax
GBIF,Magnisudis atlantica
GBIF,Magnisudis atlanticus
GBIF,Malacocephalus laevis
GBIF,Malacosteus niger
GBIF,Maulisia mauli
GBIF,Maurolicus muelleri
GBIF,Melamphaes suborbitalis
GBIF,Melanocetus johnsonii
GBIF,Melanogrammus aeglefinus
GBIF,Melanonus zugmayeri
GBIF,Melanostigma atlanticum
GBIF,Melanostomias bartonbeani
GBIF,Melanostomias spilorhynchus
GBIF,Merlangius merlangus
GBIF,Merluccius byrkelange
GBIF,Merluccius merluccius
GBIF,Microchirus variegatus
GBIF,Micromesistius poutassou
GBIF,Microstomus kitt
GBIF,Mola mola
GBIF,Molva dypterygia
GBIF,Molva macrophthalma
GBIF,Molva molva
GBIF,Mora moro
GBIF,Mullus surmuletus
GBIF,Mustelus asterias
GBIF,Mustelus mustelus
GBIF,Myctophum nitidulum
GBIF,Myctophum punctatum
GBIF,Myoxocephalus scorpius
GBIF,Nannobrachium ater
GBIF,Nansenia groenlandica
GBIF,Nemichthys scolopaceus
GBIF,Neocyttus helgae
GBIF,Neoraja caerulea
GBIF,Neoscopelus macrolepidotus
GBIF,Nerophis lumbriciformis
GBIF,Nessorhamphus ingolfianus
GBIF,Nezumia aequalis
GBIF,Nezumia sclerorhynchus
GBIF,Normichthys operosus
GBIF,Notacanthus bonaparte
GBIF,Notacanthus bonapartei
GBIF,Notacanthus chemnitzii
GBIF,Notoscopelus elongatus
GBIF,Notoscopelus kroyeri
GBIF,Oneirodes eschrichtii
GBIF,Osmerus eperlanus
GBIF,Oxynotus paradoxus
GBIF,Pagellus bogaraveo
GBIF,Parablennius gattorugine
GBIF,Parabrotula plagiophthalma
GBIF,Paraliparis bathybius
GBIF,Paraliparis challengeri
GBIF,Paraliparis hystrix
GBIF,Paraliparis kreffti
GBIF,Pegusa lascaris
GBIF,Peprilus triacanthus
GBIF,Perca fluviatilis
GBIF,Pholis gunnellus
GBIF,Photocorynus spiniceps
GBIF,Phoxinus phoxinus
GBIF,Phrynorhombus norvegicus
GBIF,Phycis blennoides
GBIF,Platichthys flesus
GBIF,Pleuronectes platessa
GBIF,Pollachius pollachius
GBIF,Pollachius virens
GBIF,Polyacanthonotus challengeri
GBIF,Polyacanthonotus rissoanus
GBIF,Polyprion americanus
GBIF,Pomatoschistus lozanoi
GBIF,Pomatoschistus microps
GBIF,Pomatoschistus minutus
GBIF,Pomatoschistus norvegicus
GBIF,Pomatoschistus pictus
GBIF,Protomyctophum arcticum
GBIF,Psenes maculatus
GBIF,Pseudoscopelus altipinnis
GBIF,Pseudotriakis microdon
GBIF,Pungitius pungitius
GBIF,Raja brachyura
GBIF,Raja clavata
GBIF,Raja microocellata
GBIF,Raja miraletus
GBIF,Raja montagui
GBIF,Raja undulata
GBIF,Rajella bathyphila
GBIF,Rajella bigelowi
GBIF,Rajella fyllae
GBIF,Raniceps raninus
GBIF,Reinhardtius hippoglossoides
GBIF,Rhadinesthes decimus
GBIF,Rouleina attrita
GBIF,Rouleina maderensis
GBIF,Rutilus rutilus
GBIF,Sagamichthys schnakenbecki
GBIF,Salvelinus willoughbii
GBIF,Scardinius erythrophthalmus
GBIF,Schedophilus medusophagus
GBIF,Scomber scombrus
GBIF,Scopelogadus beanii
GBIF,Scopelogadus mizolepis
GBIF,Scopelosaurus lepidus
GBIF,Scophthalmus rhombus
GBIF,Scyliorhinus canicula
GBIF,Scyliorhinus stellaris
GBIF,Scymnodon ringens
GBIF,Searsia koefoedi
GBIF,Sebastes marinus
GBIF,Sebastes viviparus
GBIF,Serranus cabrilla
GBIF,Serrivomer beanii
GBIF,Sigmops bathyphilum
GBIF,Simenchelys parasitica
GBIF,Solea solea
GBIF,Solea vulgaris
GBIF,Somniosus rostratus
GBIF,Spectrunculus grandis
GBIF,Sphoeroides pachygaster
GBIF,Spinachia spinachia
GBIF,Spondyliosoma cantharus
GBIF,Sprattus sprattus
GBIF,Squalius cephalus
GBIF,Squalus acanthias
GBIF,Squalus vulgaris
GBIF,Squatina squatina
GBIF,Stomias boa
GBIF,Symbolophorus veranyi
GBIF,Symphodus melops
GBIF,Synaphobranchus kaupii
GBIF,Syngnathus acus
GBIF,Syngnathus rostellatus
GBIF,Taurulus bubalis
GBIF,Thorogobius ephippiatus
GBIF,Tinca tinca
GBIF,Torpedo marmorata
GBIF,Trachinus draco
GBIF,Trachipterus arcticus
GBIF,Trachurus trachurus
GBIF,Trachyrincus murrayi
GBIF,Trachyrincus scabrus
GBIF,Trachyrincus trachyrincus
GBIF,Trachyscorpia cristulata
GBIF,Trigla lyra
GBIF,Trigloporus lastoviza
GBIF,Triglops murrayi
GBIF,Trigonolampa miriceps
GBIF,Trisopterus esmarkii
GBIF,Trisopterus luscus
GBIF,Trisopterus minutus
GBIF,Xenodermichthys copei
GBIF,Xenodermichthys socialis
GBIF,Zeugopterus regius
GBIF,Zeus faber
GBIF,Zoarces viviparus
common,Agonus cataphractus
common,Alopias vulpinus
common,Amblyraja radiata
common,Ammodytes marinus
common,Ammodytes tobianus
common,Anguilla anguilla
common,Aphia minuta
common,Apletodon dentatus
common,Balistes capriscus
common,Belone belone
common,Blennius ocellaris
common,Buglossidium luteum
common,Callionymus lyra
common,Cetorhinus maximus
common,Chelidonichthys cuculus
common,Chelidonichthys lucerna
common,Chelon labrosus
common,Chirolophis ascanii
common,Ciliata mustela
common,Clupea harengus
common,Conger conger
common,Coryphoblennius galerita
common,Ctenolabrus rupestris
common,Cyclopterus lumpus
common,Dasyatis pastinaca
common,Dicentrarchus labrax
common,Diplecogaster bimaculata
common,Dipturus batis
common,Echiichthys vipera
common,Enchelyopus cimbrius
common,Engraulis encrasicolus
common,Entelurus aequoreus
common,Eutrigla gurnardus
common,Gadus morhua
common,Gaidropsarus mediterraneus
common,Gaidropsarus vulgaris
common,Galeorhinus galeus
common,Gasterosteus aculeatus
common,Glyptocephalus cynoglossus
common,Gobius cobitis
common,Gobius niger
common,Gobius paganellus
common,Gobiusculus flavescens
common,Hippocampus guttulatus
common,Hippocampus hippocampus
common,Hippoglossus hippoglossus
common,Hyperoplus lanceolatus
common,Labrus bergylta
common,Labrus mixtus
common,Lamna nasus
common,Lepadogaster candolii
common,Lepidorhombus whiffiagonis
common,Lesueurigobius friesii
common,Leucoraja naevus
common,Limanda limanda
common,Liparis liparis
common,Liparis montagui
common,Lipophrys pholis
common,Liza aurata
common,Liza ramada
common,Lophius piscatorius
common,Lumpenus lampretaeformis
common,Melanogrammus aeglefinus
common,Merlangius merlangus
common,Merluccius merluccius
common,Micromesistius poutassou
common,Microstomus kitt
common,Molva molva
common,Mullus barbatus
common,Mullus surmuletus
common,Mustelus asterias
common,Myoxocephalus scorpius
common,Nerophis lumbriciformis
common,Nerophis ophidion
common,Osmerus eperlanus
common,Parablennius gattorugine
common,Pegusa lascaris
common,Pholis gunnellus
common,Platichthys flesus
common,Pleuronectes platessa
common,Pollachius pollachius
common,Pollachius virens
common,Pomatoschistus microps
common,Pomatoschistus minutus
common,Pomatoschistus pictus
common,Prionace glauca
common,Raja brachyura
common,Raja clavata
common,Raja microocellata
common,Raja montagui
common,Raja undulata
common,Salmo trutta
common,Sardina pilchardus
common,Scomber scombrus
common,Scophthalmus maximus
common,Scophthalmus rhombus
common,Scyliorhinus canicula
common,Scyliorhinus stellaris
common,Solea solea
common,Spinachia spinachia
common,Spondyliosoma cantharus
common,Sprattus sprattus
common,Squalus acanthias
common,Symphodus melops
common,Syngnathus acus
common,Syngnathus rostellatus
common,Syngnathus typhle
common,Taurulus bubalis
common,Thorogobius ephippiatus
common,Trachinus draco
common,Trachurus trachurus
common,Trisopterus luscus
common,Trisopterus minutus
common,Zeugopterus punctatus
common,Zeus faber
common,Zoarces viviparus
common,Abramis brama
common,Alburnus alburnus
common,Alosa alosa
common,Atherina presbyter
common,Atherina boyeri
common,Barbatula barbatula
common,Barbus barbus
common,Carassius auratus
common,Carassius carassius
common,Cottus gobio
common,Cyprinus carpio
common,Esox lucius
common,Gobio gobio
common,Gymnocephalus cernua
common,Lampetra fluviatilis
common,Lampetra planeri
common,Leuciscus idus
common,Leuciscus leuciscus
common,Oncorhynchus mykiss
common,Perca fluviatilis
common,Petromyzon marinus
common,Phoxinus phoxinus
common,Pseudorasbora parva
common,Pungitius pungitius
common,Rutilus rutilus
common,Salmo salar
common,Sander lucioperca
common,Scardinius erythrophthalmus
common,Silurus glanis
common,Squalius cephalus
common,Thymallus thymallus
common,Tinca tinca
common,Gadiculus argenteus
common,Trisopterus esmarkii
common,Ciliata septentrionalis
common,Lepadogaster lepadogaster
common,Gymnammodytes semisquamatus
common,Hyperoplus immaculatus
common,Callionymus maculatus
common,Callionymus reticulatus
common,Capros aper
common,Cepola macrophthalma
common,Pomatoschistus lozanoi
common,Pomatoschistus norvegicus
common,Symphodus bailloni
common,Sparus aurata
common,Arnoglossus laterna
common,Phrynorhombus norvegicus
common,Microchirus variegatus
common,Trigloporus lastoviza
common,Mola mola
common,Centrolabrus exoletus
common,Pagellus bogaraveo
common,Zeugopterus regius
common,Micrenophrys lilljeborgii
common,Pagrus pagrus
